parking_id,floor,spot_id,x,y,status,distance,type,time_period,user_id,arrival_hour,parking_duration
P1,4,S4_93,14,42,1,64.27,normal,afternoon,U467,22,3
P1,3,S3_88,35,39,1,67.4,normal,afternoon,U2392,11,6
P1,2,S2_64,20,32,0,47.74,normal,morning,U475,9,4
P1,4,S4_80,14,46,0,68.08,normal,morning,U3203,4,3
P1,5,S5_73,38,17,1,66.63,disabled,afternoon,U2042,8,2
P1,5,S5_2,19,27,0,58.02,normal,morning,U776,14,3
P1,1,S1_36,49,39,1,67.63,normal,afternoon,U3844,21,5
P1,2,S2_90,43,33,0,64.2,disabled,evening,U4912,14,6
P1,4,S4_62,39,20,0,63.83,normal,morning,U4888,12,1
P1,5,S5_15,44,0,0,69.0,normal,morning,U2028,7,7
P1,3,S3_115,16,7,1,32.46,VIP,morning,U3562,6,2
P1,1,S1_28,6,8,0,15.0,normal,evening,U2455,23,5
P1,3,S3_44,39,21,1,59.29,normal,morning,U2691,0,5
P1,2,S2_119,13,38,0,50.16,VIP,afternoon,U1485,18,7
P1,1,S1_52,31,3,1,36.14,normal,morning,U1679,10,5
P1,4,S4_13,31,6,0,51.58,normal,afternoon,U2730,12,6
P1,1,S1_117,5,27,1,32.46,normal,afternoon,U1982,10,2
P1,4,S4_89,38,32,0,69.68,normal,morning,U2676,12,1
P1,3,S3_103,5,7,0,23.6,normal,morning,U4780,23,7
P1,3,S3_118,31,31,0,58.84,normal,afternoon,U4660,11,6
P1,2,S2_3,48,36,0,70.0,normal,morning,U4098,1,4
P1,5,S5_96,32,0,0,57.0,normal,afternoon,U1734,22,4
P1,3,S3_56,16,37,0,55.31,normal,afternoon,U1931,15,1
P1,1,S1_59,5,15,0,20.81,normal,evening,U1370,2,7
P1,3,S3_20,31,6,0,46.58,normal,evening,U2386,7,1
P1,3,S3_92,24,49,1,69.56,VIP,evening,U263,15,2
P1,1,S1_116,48,1,1,53.01,disabled,morning,U3109,22,1
P1,1,S1_99,18,47,1,55.33,VIP,afternoon,U3192,0,4
P1,3,S3_113,7,35,1,50.69,normal,evening,U3184,2,1
P1,5,S5_18,45,17,0,73.1,normal,morning,U4068,0,4
P1,1,S1_14,20,47,1,56.08,normal,evening,U1219,16,1
P1,4,S4_59,21,21,0,49.7,disabled,morning,U563,21,3
P1,3,S3_98,20,29,0,50.23,normal,morning,U4549,15,3
P1,4,S4_35,48,16,1,70.6,normal,afternoon,U3445,5,3
P1,4,S4_105,36,23,0,62.72,normal,evening,U3171,0,4
P1,5,S5_85,31,22,0,63.01,normal,afternoon,U1817,9,7
P1,2,S2_67,39,45,0,69.55,normal,afternoon,U1687,1,7
P1,3,S3_106,1,25,1,40.02,normal,evening,U4342,15,7
P1,5,S5_42,25,34,0,67.2,normal,afternoon,U2951,3,5
P1,4,S4_65,7,45,1,65.54,VIP,evening,U1167,1,2
P1,3,S3_25,21,21,0,44.7,normal,evening,U2492,4,1
P1,5,S5_60,43,43,0,85.81,normal,morning,U992,19,6
P1,3,S3_55,39,15,1,56.79,normal,afternoon,U1683,16,7
P1,3,S3_92,25,36,0,58.83,normal,evening,U1932,20,1
P1,2,S2_1,46,33,0,66.61,normal,morning,U4584,12,5
P1,1,S1_16,38,4,0,43.21,normal,afternoon,U1680,18,5
P1,1,S1_29,13,27,0,34.97,normal,afternoon,U3060,4,4
P1,2,S2_90,47,20,0,61.08,normal,afternoon,U4453,22,2
P1,2,S2_118,4,35,0,45.23,normal,afternoon,U3731,0,5
P1,5,S5_4,15,23,1,52.46,disabled,evening,U852,23,4
P1,2,S2_35,32,32,1,55.25,VIP,evening,U3914,10,4
P1,5,S5_13,11,30,0,56.95,normal,afternoon,U2083,22,1
P1,2,S2_8,28,25,1,47.54,normal,evening,U617,6,4
P1,2,S2_117,49,44,1,75.86,normal,morning,U3349,3,2
P1,5,S5_73,23,34,1,66.05,normal,afternoon,U2144,23,7
P1,5,S5_12,48,12,1,74.48,normal,afternoon,U3953,19,1
P1,5,S5_59,18,48,0,76.26,disabled,evening,U4172,8,7
P1,4,S4_78,30,18,0,54.99,normal,morning,U4492,19,3
P1,5,S5_100,22,15,1,51.63,normal,afternoon,U2983,13,7
P1,2,S2_5,34,22,0,50.5,VIP,evening,U954,11,1
P1,5,S5_102,6,45,1,70.4,normal,afternoon,U2682,1,5
P1,5,S5_37,37,18,0,66.15,VIP,afternoon,U500,16,7
P1,1,S1_45,3,35,0,40.13,normal,morning,U2924,21,7
P1,3,S3_74,25,18,0,45.81,normal,morning,U4850,19,4
P1,5,S5_105,38,0,1,63.0,normal,morning,U1215,16,1
P1,1,S1_38,5,43,1,48.29,normal,evening,U4176,21,5
P1,3,S3_101,35,34,1,63.8,normal,evening,U1257,16,6
P1,1,S1_117,2,15,1,20.13,disabled,afternoon,U2784,15,6
P1,4,S4_24,27,7,0,47.89,normal,afternoon,U540,4,1
P1,4,S4_64,26,16,0,50.53,normal,morning,U2780,15,5
P1,5,S5_46,34,5,1,59.37,VIP,evening,U1945,1,2
P1,2,S2_109,4,32,1,42.25,normal,evening,U4949,21,3
P1,3,S3_49,12,32,0,49.18,normal,morning,U405,15,7
P1,4,S4_81,4,30,1,50.27,disabled,evening,U3637,4,2
P1,2,S2_83,16,20,0,35.61,normal,evening,U4781,12,4
P1,1,S1_113,39,31,0,54.82,normal,evening,U250,1,6
